school,date,category,description,details,lat,lng
Florida State University,"
03/04/2020
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
SJP released a statement that denigrated another student group, FSU College Democrats, for attending a recent AIPAC conference.
  ",#incident/search/display-by-date/search/details/5e6005dc4a49b00015d40bf3?ref=view_279_per_page%3D1000%26view_279_page%3D1,30.4418778,-84.2984889
University of California Los Angeles,"
03/04/2020
  ","
ANTISEMITIC EXPRESSION
  ","
SJP simultaneouly published a ""Statement of Opposition to UC Profit from War"" and a petition for students to sign [2] that called for UC to divest from ""ethically indefensible corporations"".
  ",#incident/search/display-by-date/search/details/5e6a7be2c552d40015fe4a00?ref=view_279_per_page%3D1000%26view_279_page%3D1,34.068921,-118.4451811
Wesleyan University,"
03/03/2020
  ","
BDS ACTIVITY
  ","
WesDivest and Wesleyan Jewish Voice for Peace held the event ""WesDivest Teach-In,"" where, according to the advertisement, participants discussed why they are ""calling on Wesleyan to divest from both the fossil fuel industry and the Israeli occupation of Palestine"".
  ",#incident/search/display-by-date/search/details/5e5d6020e61aa60015b60817?ref=view_279_per_page%3D1000%26view_279_page%3D1,41.5566104,-72.65690409999999
University of Chicago,"
03/03/2020
  ","
ANTISEMITIC EXPRESSION
  ","
SJP held the event ""A Teach-In on Pinkwashing with SJP"".
  ",#incident/search/display-by-date/search/details/5e57fd4d83b5a0001593ce4f?ref=view_279_per_page%3D1000%26view_279_page%3D1,41.7886079,-87.5987133
Rice University,"
03/03/2020
  ","
ANTISEMITIC EXPRESSION
  ","
The Baker Institute held the event ""Age of Coexistence: The Making of the Modern Arab World"" [1] with Professor Ussama Makdisi, where Makdisi engaged in rhetoric that demonized Israel and denied Jews self-determination [2].
  ",#incident/search/display-by-date/search/details/5e700ed4694c0100154fcd3b?ref=view_279_per_page%3D1000%26view_279_page%3D1,29.7173941,-95.40183119999999
Tufts University,"
03/02/2020
  ","
ANTISEMITIC EXPRESSION
  ","
SJP introduced a referendum during the student government meeting that seeks to end campus police training with Israel, which was discussed during the student government meeting [1, 4].
  ",#incident/search/display-by-date/search/details/5e5d53790e29b100169fb664?ref=view_279_per_page%3D1000%26view_279_page%3D1,42.4074843,-71.1190232
Duke University,"
03/02/2020
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
A student who had repeatedly [1] tweeted denigrating remarks about Zionists on campus and the Duke Israel Public Affairs Committee (DIPAC) tweeted, ""Dear DIPAC, I am honored to be one of these 'certain students' who is vicious in attacking racist organizations like yours [,] and I will continue to viciously attack y’all” [2].
  ",#incident/search/display-by-date/search/details/5e5d37f36b959f001517114f?ref=view_279_per_page%3D1000%26view_279_page%3D1,36.0014258,-78.9382286
Tufts University,"
03/01/2020
  ","
ANTISEMITIC EXPRESSION
  ","
SJP circulated a petition for students to sign in support of a resolution promoting their ""Deadly Exchange"" campaign [1].
  ",#incident/search/display-by-date/search/details/5e66884cdeb12b00155f54ed?ref=view_279_per_page%3D1000%26view_279_page%3D1,42.4074843,-71.1190232
University of Illinois Urbana Champaign,"
02/29/2020
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
After being erased the day before, swastikas and male genitalia were found again on the same whiteboard hanging on a student's door in Wardall Hall.
  ",#incident/search/display-by-date/search/details/5e64042518cb8b0016b59415?ref=view_279_per_page%3D1000%26view_279_page%3D1,40.1019523,-88.2271615
University of Illinois Urbana Champaign,"
02/28/2020
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
Swastikas and male genitalia were found drawn on a whiteboard hanging on a student's door in Wardall Hall.
  ",#incident/search/display-by-date/search/details/5e6403d23639130015bf3673?ref=view_279_per_page%3D1000%26view_279_page%3D1,40.1019523,-88.2271615
Irvine Valley College,"
02/28/2020
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
A swastika was found written on a stall in the men's restroom in the library.
  ",#incident/search/display-by-date/search/details/5e602e64c4154c001596e2a3?ref=view_279_per_page%3D1000%26view_279_page%3D1,33.6754033,-117.77773
CUNY School of Law,"
02/27/2020
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
In response to a Jewish student publishing an op-ed in the Jewish Journal [1] detailing her experiences with antisemitism on campus and harassment she experienced because of her Zionism [2], a petition [2] was created to support Palestinians on campus that belittled her concerns as ""weaponiz[ing]"" antisemitism and demonized Israel.
  ",#incident/search/display-by-date/search/details/5e5961ffab55460016ff1717?ref=view_279_per_page%3D1000%26view_279_page%3D1,40.7476569,-73.9436388
Boston University,"
02/27/2020
  ","
ANTISEMITIC EXPRESSION
  ","
SJP screened the film ""The Occupation of the American Mind: Israel's Public Relations War in the United States"".
  ",#incident/search/display-by-date/search/details/5eb466ef4897e000155d91f3?ref=view_279_per_page%3D1000%26view_279_page%3D1,42.3504997,-71.1053991
University of San Francisco,"
02/26/2020
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
Graffiti containing a swastika and the words ""Spics, Niggers, Fags, Kikes"" was found on campus.
  ",#incident/search/display-by-date/search/details/5e580f4b7756470015bd9496?ref=view_279_per_page%3D1000%26view_279_page%3D1,37.7765643,-122.4507187
University of Chicago,"
02/26/2020
  ","
ANTISEMITIC EXPRESSION
  ","
SJP issued a statement responding to vandalism of their fliers for an upcoming event that included language which demonized Israel.
  ",#incident/search/display-by-date/search/details/5e57fc2a4cd81000179fc61a?ref=view_279_per_page%3D1000%26view_279_page%3D1,41.7886079,-87.5987133
Orange Coast College,"
02/25/2020
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
A swastika drawn on a stucco wall adjacent to the Student Success Center was discovered and reported by a faculty member.
  ",#incident/search/display-by-date/search/details/5e5ff61082159e0015f4685f?ref=view_279_per_page%3D1000%26view_279_page%3D1,33.6700272,-117.9094073
University of California Davis,"
02/25/2020
  ","
ANTISEMITIC EXPRESSION
  ","
The UC Davis Graduate Student COLA (Cost of Living Adjustment) campaign included a demand that UC administrators ""[d]ivest endowment funds from policing, surveillance, militarization, and occupation, specifically in alignment with the Boycott, Divestment, and Sanctions (BDS) movement against Israeli apartheid"".
  ",#incident/search/display-by-date/search/details/5e5eb581c2c75100163d645f?ref=view_279_per_page%3D1000%26view_279_page%3D1,38.5382322,-121.7617125
Rutgers University - New Brunswick,"
02/25/2020
  ","
ANTISEMITIC EXPRESSION
  ","
An article in the student newspaper The Daily Targum quoted from a 10 page divestment report submitted to the Joint Committee on Investments (JCOI), with the quote claiming that ""the University currently has holdings in a cross section of corporations that are destroying environments across the world, exploiting workers around the world by utilizing sweatshop labor, contributing to a violent and racist prison industrial complex, acting as agents of imperialism and colonialism through involvement in the military industrial complex and perpetrating an apartheid system against the Palestinian people"".
  ",#incident/search/display-by-date/search/details/5e56ac7dfad2a600183feca9?ref=view_279_per_page%3D1000%26view_279_page%3D1,40.5008186,-74.44739910000001
University of California Santa Barbara,"
02/24/2020
  ","
ANTISEMITIC EXPRESSION
  ","
An op-ed in the student newspaper The Daily Nexus demonized Israel, claiming, ""Birthright does not build Jewish community, [it] encourages blind faith to an oppressive state and right-wing regime"".
  ",#incident/search/display-by-date/search/details/5e56c2880e2b050015a85498?ref=view_279_per_page%3D1000%26view_279_page%3D1,34.4139629,-119.848947
Yeshiva University,"
02/23/2020
  ","
ANTISEMITIC EXPRESSION
  ","
At the start of a Volleyball game between Brooklyn College Bulldogs and Yeshiva University Maccabbees, two of the Brooklyn College student players turned and knelt down to take a knee in protest while Hatikva, the Israeli National Anthem played [1, 2].
  ",#incident/search/display-by-date/search/details/5e56a58d83b5380015618ef6?ref=view_279_per_page%3D1000%26view_279_page%3D1,40.8496462,-73.9292208
Columbia University/Barnard College,"
02/20/2020
  ","
ANTISEMITIC EXPRESSION
  ","
SJP, JVP and Columbia Apartheid Divest held the event ""Palestine & BDS 101"".
  ",#incident/search/display-by-date/search/details/5e4d8e6205792a00177f20ba?ref=view_279_per_page%3D1000%26view_279_page%3D1,40.8090051,-73.9637853
Vassar College,"
02/19/2020
  ","
ANTISEMITIC EXPRESSION
  ","
Antisemitic and racist stickers created by the Patriot Front were posted around campus.
  ",#incident/search/display-by-date/search/details/5e64051b3b612d001706bea6?ref=view_279_per_page%3D1000%26view_279_page%3D1,41.686229,-73.8972957
Eastern Illinois University,"
02/19/2020
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
Plastic bags containing a rock and a poster with a swastika reading “White Power - Get Some” were left around campus.
  ",#incident/search/display-by-date/search/details/5e541d4a9fe446001615bd86?ref=view_279_per_page%3D1000%26view_279_page%3D1,39.483779,-88.1751391
San Diego State University,"
02/19/2020
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
A members of the black nationalist group Uhuru [1] used antisemitic rhetoric during the group's on-campus protest of their leader, Omali Yeshitela, being excluded from a proposed slavery reparations summit at SDSU.
  ",#incident/search/display-by-date/search/details/5e5403cf705fba0015d38b0d?ref=view_279_per_page%3D1000%26view_279_page%3D1,32.7759894,-117.0712533
