school,date,category,description,details,lat,lng
Earlham College,"
04/01/2016
  ","
ANTISEMITIC EXPRESSION
  ","
SJP put up a flyer near Sabra Hummus in the dining area that stated, ""Boycott Sabra Hummus.
  ",#incident/search/display-by-date/search/details/5b516e519d1f3b0b33b842fd?ref=view_279_per_page%3D1000%26view_279_page%3D3,39.823941,-84.913241
New York University,"
04/01/2016
  ","
ANTISEMITIC EXPRESSION
  ","
NYU Law Center for Human Rights and Global Justice, Law SJP and SJP held the conference, ""The Palestinian Right of Return: A Legal and Political Analysis,"" which argued for the right of return of millions of Palestinians to Israel, which would effectively eliminate Jewish self-determination.
  ",#incident/search/display-by-date/search/details/5b516e519d1f3b0b33b842ff?ref=view_279_per_page%3D1000%26view_279_page%3D3,40.7381644,-73.97821569999999
Northeastern University,"
04/01/2016
  ","
BDS ACTIVITY
  ","
SJP hosted an event as part of ""Israeli Apartheid Week"" entitled ""Ask Me About Boycott, Divestment and Sanctions,"" which promoted BDS.
  ",#incident/search/display-by-date/search/details/5b516e519d1f3b0b33b84301?ref=view_279_per_page%3D1000%26view_279_page%3D3,42.3398067,-71.0891717
"University of Florida, Gainesville","
03/31/2016
  ","
BDS ACTIVITY
  ","
SJP tabled on campus, and included literature and materials to share about BDS.
  ",#incident/search/display-by-date/search/details/5b516e519d1f3b0b33b842f9?ref=view_279_per_page%3D1000%26view_279_page%3D3,29.6436325,-82.3549302
University of California Berkeley,"
03/31/2016
  ","
BDS ACTIVITY
  ","
SJP held a die-in and march, which started in downtown Berkeley and then went through campus.
  ",#incident/search/display-by-date/search/details/5b516e519d1f3b0b33b842f7?ref=view_279_per_page%3D1000%26view_279_page%3D3,37.8718992,-122.2585399
University of Illinois Urbana Champaign,"
03/31/2016
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
SJP posted a press release on their facebook page protesting an event at Hillel that was sponsored by Mishelanu, a “national campus program for Israeli-American students run by the Israeli American Council"" which was an IDF-style boot camp for physical exercize.
  ",#incident/search/display-by-date/search/details/5b516e519d1f3b0b33b842fb?ref=view_279_per_page%3D1000%26view_279_page%3D3,40.1019523,-88.2271615
Northwestern University,"
03/31/2016
  ","
ANTISEMITIC EXPRESSION
  ","
In an op-ed in the ""Daily Northwestern,"" an NU senior called Zionism an ""oppressive ideology"" that is ""directly involved in the perpetuation of the prison-industrial complex.
  ",#incident/search/display-by-date/search/details/5b516e519d1f3b0b33b842f5?ref=view_279_per_page%3D1000%26view_279_page%3D3,42.0472222,-87.6758333
University of Chicago,"
03/30/2016
  ","
BDS ACTIVITY
  ","
As parf of the UofC Divestment campaign, SJP and UofC Divest co-hosted the event, ""Narratives of Resistance: Stories and Performances of Joint Struggles"" where divestment was discussed by performer Remi Kanazi, as well as others.
  ",#incident/search/display-by-date/search/details/5b516e519d1f3b0b33b842ef?ref=view_279_per_page%3D1000%26view_279_page%3D3,41.7886079,-87.5987133
Temple University,"
03/30/2016
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
A hockey player tweeted an antisemitic message in anticipation of an upcoming game with Jewish fraternity AEPi.
  ",#incident/search/display-by-date/search/details/5b516e519d1f3b0b33b842ed?ref=view_279_per_page%3D1000%26view_279_page%3D3,39.9805942,-75.1557376
University of Texas Austin,"
03/30/2016
  ","
ANTISEMITIC EXPRESSION
  ","
As part of ""Israeli Apartheid Week,"" The Palestine Solidarity Committee planned and then protested the Israel Block Party sponsored by Texans for Israel.
  ",#incident/search/display-by-date/search/details/5b516e519d1f3b0b33b842f3?ref=view_279_per_page%3D1000%26view_279_page%3D3,30.2859399,-97.7317405
"University of Florida, Gainesville","
03/30/2016
  ","
ANTISEMITIC EXPRESSION
  ","
An article in the school newspaper falsely accused Israel of apartheid and ""probably even ethnic cleansing"".
  ",#incident/search/display-by-date/search/details/5b516e519d1f3b0b33b842f1?ref=view_279_per_page%3D1000%26view_279_page%3D3,29.6436325,-82.3549302
Rutgers University - New Brunswick,"
03/30/2016
  ","
BDS ACTIVITY
  ","
SJP Rutgers hosted a BDS information session to promote BDS on campus.
  ",#incident/search/display-by-date/search/details/5b516e519d1f3b0b33b842eb?ref=view_279_per_page%3D1000%26view_279_page%3D3,40.5008186,-74.44739910000001
New York University,"
03/30/2016
  ","
BDS ACTIVITY
  ","
New York University's Graduate School Organizing Committee (GSOC, a union for graduate employees) held a second ""Town Hall on BDS"" and discussed a draft referendum being put forward in support of Boycott, Divestment and Sanctions (BDS) against the state of Israel that will be voted on in mid-April.
  ",#incident/search/display-by-date/search/details/5b516e519d1f3b0b33b842e9?ref=view_279_per_page%3D1000%26view_279_page%3D3,40.7381644,-73.97821569999999
University of Toledo,"
03/29/2016
  ","
ANTISEMITIC EXPRESSION
  ","
SJP held an ""Israeli Apartheid Week"" Teach-In event with Robbie Abdelhoq and Derek Ide that included a discussion on falsely accusing Israel of Apartheid and the links to that of South Africa.
  ",#incident/search/display-by-date/search/details/5b516e519d1f3b0b33b842e7?ref=view_279_per_page%3D1000%26view_279_page%3D3,41.6578804,-83.6142374
University of California Berkeley,"
03/29/2016
  ","
ANTISEMITIC EXPRESSION
  ","
SJP erected a mock ""apartheid wall"", which contained on one panel an image of all of Israel replaced with a Palestinian flag, insinuating that Israel as a Jewish state should cease to exist, Additionally, large letters on the wall read ""Israeli Apartheid"", which falsely states that Israel is an apartheid state.
  ",#incident/search/display-by-date/search/details/5b516e519d1f3b0b33b842e3?ref=view_279_per_page%3D1000%26view_279_page%3D3,37.8718992,-122.2585399
Northeastern University,"
03/29/2016
  ","
ANTISEMITIC EXPRESSION
  ","
SJP hosted an event as part of ""Israeli Apartheid Week"" entitled ""Wiping Away the Blood of Palestinians with The Rainbow Flag: Issues of Homonationalism and Pinkwashing,"" in which Israel was falsely accused of ""pinkwashing,"" i.
  ",#incident/search/display-by-date/search/details/5b516e519d1f3b0b33b842e1?ref=view_279_per_page%3D1000%26view_279_page%3D3,42.3398067,-71.0891717
"University of Florida, Gainesville","
03/29/2016
  ","
BDS ACTIVITY
  ","
As part of ""Palestinian Solidarity Week,"" SJP held the event, ""Confronting Occupation: A Conversation with International Peace Activist Dezeray Lyn.
  ",#incident/search/display-by-date/search/details/5b516e519d1f3b0b33b842e5?ref=view_279_per_page%3D1000%26view_279_page%3D3,29.6436325,-82.3549302
Old Dominion University,"
03/28/2016
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
Multiple flyers depicting a Nazi-supporting message and a swastika were posted on the monorail poles between the Engineering Systems and Education Building.
  ",#incident/search/display-by-date/search/details/5b516e519d1f3b0b33b842d9?ref=view_279_per_page%3D1000%26view_279_page%3D3,36.8841106,-76.304239
University of Chicago,"
03/28/2016
  ","
ANTISEMITIC EXPRESSION
  ","
UofC Divest launched a divestment campaign, ""urging the university to financially divest from companies presently complicit in, or profiting off of, the State of Israel’s ongoing system of military occupation, apartheid, and other human rights violations in Palestine/Israel.
  ",#incident/search/display-by-date/search/details/5b516e519d1f3b0b33b842db?ref=view_279_per_page%3D1000%26view_279_page%3D3,41.7886079,-87.5987133
Columbia University/Barnard College,"
03/28/2016
  ","
ANTISEMITIC EXPRESSION
  ","
The Center for Palestine Studies held the event, “There is a Field’: Post Play Discussion.
  ",#incident/search/display-by-date/search/details/5b516e519d1f3b0b33b842d7?ref=view_279_per_page%3D1000%26view_279_page%3D3,40.8090051,-73.9637853
University of Chicago,"
03/28/2016
  ","
ANTISEMITIC EXPRESSION
  ","
UofC Divest members held a rally in the main quad and shouted chants of, “Brick by brick, wall by wall, Israeli apartheid has to fall,” “Free free Palestine, viva viva Palestina,” “Hey hey, ho ho, Israeli apartheid’s got to go.
  ",#incident/search/display-by-date/search/details/5b516e519d1f3b0b33b842dd?ref=view_279_per_page%3D1000%26view_279_page%3D3,41.7886079,-87.5987133
University of Texas Austin,"
03/28/2016
  ","
ANTISEMITIC EXPRESSION
  ","
The Palestine Solidarity Committee held a week long series of events for ""Israeli Apartheid Week.
  ",#incident/search/display-by-date/search/details/5b516e519d1f3b0b33b842df?ref=view_279_per_page%3D1000%26view_279_page%3D3,30.2859399,-97.7317405
University of Southern California,"
03/27/2016
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
In a separate incident of a swastika drawn on the walls of USC campus buildings in a short period (The first was reported on March 16 in Pardee Tower, a freshman dorm), a swastika was reported in Hoffman Hall over the weekend, but the incident happened in February.
  ",#incident/search/display-by-date/search/details/5b516e519d1f3b0b33b842d5?ref=view_279_per_page%3D1000%26view_279_page%3D3,34.0223519,-118.285117
Hollins University,"
03/27/2016
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
A swastika was painted on ""the Rock"", a campus landmark that students regularly paint with various messages.
  ",#incident/search/display-by-date/search/details/5b516e519d1f3b0b33b842d3?ref=view_279_per_page%3D1000%26view_279_page%3D3,37.3561559,-79.9423778
Florida State University,"
03/27/2016
  ","
ANTISEMITIC EXPRESSION
  ","
SJP posted a photo on Facebook of a person holding a sign saying, "".
  ",#incident/search/display-by-date/search/details/5b516e519d1f3b0b33b842d0?ref=view_279_per_page%3D1000%26view_279_page%3D3,30.4418778,-84.2984889
The New School,"
03/26/2016
  ","
ANTISEMITIC EXPRESSION
  ","
SJP at the New School and JVP-NY City co-sponsored an event with Jeff Halper entitled, “BDS for a Bi-national, Democratic State”.
  ",#incident/search/display-by-date/search/details/5b516e519d1f3b0b33b842cd?ref=view_279_per_page%3D1000%26view_279_page%3D3,40.7354047,-73.9938193
University of Connecticut,"
03/25/2016
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
An antisemitic flyer was distributed to networked printers and fax machines on campus.
  ",#incident/search/display-by-date/search/details/5b516e519d1f3b0b33b842b9?ref=view_279_per_page%3D1000%26view_279_page%3D3,41.8077414,-72.2539805
University of California Davis,"
03/25/2016
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
An antisemitic flyer was distributed to networked printers and fax machines on campus.
  ",#incident/search/display-by-date/search/details/5b516e519d1f3b0b33b842b7?ref=view_279_per_page%3D1000%26view_279_page%3D3,38.5382322,-121.7617125
University of California Berkeley,"
03/25/2016
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
An antisemitic flyer was distributed to networked printers throughout campus, including the campus’s Bilder Lab and 16 other locations.
  ",#incident/search/display-by-date/search/details/5b516e519d1f3b0b33b842b5?ref=view_279_per_page%3D1000%26view_279_page%3D3,37.8718992,-122.2585399
Oregon State University,"
03/25/2016
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
An antisemitic flyer was distributed to networked printers and fax machines on campus.
  ",#incident/search/display-by-date/search/details/5b516e509d1f3b0b33b842af?ref=view_279_per_page%3D1000%26view_279_page%3D3,44.5657799,-123.2816642
Smith College,"
03/25/2016
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
An antisemitic flyer was distributed to networked printers and fax machines at locations on campus.
  ",#incident/search/display-by-date/search/details/5b516e509d1f3b0b33b842b3?ref=view_279_per_page%3D1000%26view_279_page%3D3,42.3162992,-72.6403095
Princeton University,"
03/25/2016
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
An antisemitic flyer was distributed to networked printers and fax machines at several locations on campus.
  ",#incident/search/display-by-date/search/details/5b516e509d1f3b0b33b842b1?ref=view_279_per_page%3D1000%26view_279_page%3D3,40.3430942,-74.65507389999999
"University of Wisconsin, Madison","
03/25/2016
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
Antisemitic flyers were distributed to networked printers on campus.
  ",#incident/search/display-by-date/search/details/5b516e519d1f3b0b33b842c9?ref=view_279_per_page%3D1000%26view_279_page%3D3,43.076592,-89.4124875
University of New Hampshire,"
03/25/2016
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
An antisemitic flyer was distributed to networked printers throughout campus, including two of the university's public printers in the Dimond Library and the Memorial Union Building.
  ",#incident/search/display-by-date/search/details/5b516e519d1f3b0b33b842c1?ref=view_279_per_page%3D1000%26view_279_page%3D3,43.138948,-70.9370252
University of Oregon,"
03/25/2016
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
An antisemitic flyer was distributed to networked printers throughout campus.
  ",#incident/search/display-by-date/search/details/5b516e519d1f3b0b33b842c3?ref=view_279_per_page%3D1000%26view_279_page%3D3,44.0448302,-123.0726055
University of Maryland,"
03/25/2016
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
An antisemitic flyer was distributed to networked printers throughout campus.
  ",#incident/search/display-by-date/search/details/5b516e519d1f3b0b33b842bd?ref=view_279_per_page%3D1000%26view_279_page%3D3,38.9864552,-76.95399309999999
University of Maine,"
03/25/2016
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
An antisemitic flyer was distributed to networked printers throughout campus, and two flyers were discovered on printers in the Memorial Union.
  ",#incident/search/display-by-date/search/details/5b516e519d1f3b0b33b842bb?ref=view_279_per_page%3D1000%26view_279_page%3D3,44.8955674,-68.6735534
University of Southern California,"
03/25/2016
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
An antisemitic flyer was distributed to networked printers and fax machines at locations on campus.
  ",#incident/search/display-by-date/search/details/5b516e519d1f3b0b33b842c7?ref=view_279_per_page%3D1000%26view_279_page%3D3,34.0223519,-118.285117
University of Massachusetts Amherst,"
03/25/2016
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
An antisemitic flyer was distributed to networked printers and fax machines at at least 26 locations on campus.
  ",#incident/search/display-by-date/search/details/5b516e519d1f3b0b33b842bf?ref=view_279_per_page%3D1000%26view_279_page%3D3,42.3867598,-72.5300515
University of Rhode Island,"
03/25/2016
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
An antisemitic flyer was found at a printer in the library.
  ",#incident/search/display-by-date/search/details/5b516e519d1f3b0b33b842c5?ref=view_279_per_page%3D1000%26view_279_page%3D3,41.4860647,-71.5308537
"University of Wisconsin, Milwaukee","
03/25/2016
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
An antisemitic flyer was distributed to networked printers and fax machines at two locations on campus.
  ",#incident/search/display-by-date/search/details/5b516e519d1f3b0b33b842cb?ref=view_279_per_page%3D1000%26view_279_page%3D3,43.078263,-87.8819686
Clark University,"
03/25/2016
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
An antisemitic flyer was distributed to networked printers and fax machines on campus.
  ",#incident/search/display-by-date/search/details/5b516e509d1f3b0b33b842a1?ref=view_279_per_page%3D1000%26view_279_page%3D3,42.2518673,-71.8238049
Brown University,"
03/25/2016
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
An antisemitic flyer was distributed to networked printers throughout campus.
  ",#incident/search/display-by-date/search/details/5b516e509d1f3b0b33b8429f?ref=view_279_per_page%3D1000%26view_279_page%3D3,41.8267718,-71.4025482
Northeastern University,"
03/25/2016
  ","
ANTISEMITIC EXPRESSION
  ","
SJP hosted an event as part of ""Israeli Apartheid Week"" entitled ""Greenwashing: Israel's Environmental Colonialism and Eco-Apartheid,"" in which Israel was falsely accused of ""greenwashing,"" i.
  ",#incident/search/display-by-date/search/details/5b516e509d1f3b0b33b842ad?ref=view_279_per_page%3D1000%26view_279_page%3D3,42.3398067,-71.0891717
Northeastern University,"
03/25/2016
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
An antisemitic flyer was distributed to networked printers and fax machines at locations on campus.
  ",#incident/search/display-by-date/search/details/5b516e509d1f3b0b33b842ab?ref=view_279_per_page%3D1000%26view_279_page%3D3,42.3398067,-71.0891717
DePaul University,"
03/25/2016
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
An antisemitic flyer was distributed to networked printers and fax machines at locations on campus.
  ",#incident/search/display-by-date/search/details/5b516e509d1f3b0b33b842a7?ref=view_279_per_page%3D1000%26view_279_page%3D3,41.92381659999999,-87.6565901
Florida Institute Of Technology,"
03/25/2016
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
An antisemitic flyer with swastikas was printed on a networked printer.
  ",#incident/search/display-by-date/search/details/5b516e509d1f3b0b33b842a9?ref=view_279_per_page%3D1000%26view_279_page%3D3,28.0646282,-80.6230583
CUNY Kingsborough Community College,"
03/25/2016
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
Professor of Business Jeffrey Lax filed a lawsuit alleging antisemitic behavior on the part of senior administrators.
  ",#incident/search/display-by-date/search/details/5b516e509d1f3b0b33b842a5?ref=view_279_per_page%3D1000%26view_279_page%3D3,40.5782627,-73.9350378
CSU Long Beach,"
03/25/2016
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
Three antisemitic flyers were distributed to networked printers on campus.
  ",#incident/search/display-by-date/search/details/5b516e509d1f3b0b33b842a3?ref=view_279_per_page%3D1000%26view_279_page%3D3,33.7838235,-118.1140904
Boston University,"
03/24/2016
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
An antisemitic flyer was distributed to networked printers throughout Boston University's Charles River Campus.
  ",#incident/search/display-by-date/search/details/5b516e509d1f3b0b33b84293?ref=view_279_per_page%3D1000%26view_279_page%3D3,42.3504997,-71.1053991
University of California Santa Cruz,"
03/24/2016
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
A flyer was printed to several printers on campus including Housing Educational Services and Kresge.
  ",#incident/search/display-by-date/search/details/5b516e509d1f3b0b33b84299?ref=view_279_per_page%3D1000%26view_279_page%3D3,36.9880503,-122.0582093
Warren Wilson College,"
03/24/2016
  ","
ANTISEMITIC EXPRESSION
  ","
Convicted felon Iyad Burnat gave a talk at Warren Wilson College.
  ",#incident/search/display-by-date/search/details/5b516e509d1f3b0b33b8429d?ref=view_279_per_page%3D1000%26view_279_page%3D3,35.611126,-82.44227910000001
University of Virginia,"
03/24/2016
  ","
BDS ACTIVITY
  ","
UVA SPJP held the event ""SPJP Presents: Remi Kanazi.
  ",#incident/search/display-by-date/search/details/5b516e509d1f3b0b33b8429b?ref=view_279_per_page%3D1000%26view_279_page%3D3,38.0335529,-78.5079772
Swarthmore College,"
03/24/2016
  ","
ANTISEMITIC EXPRESSION
  ","
During a Students for Peace and Justice in Palestine (SPJP) event with Remi Kenazi, according to an article by an attendee, Kenazi stated, ""Do not even think to engage with the other side.
  ",#incident/search/display-by-date/search/details/5b516e509d1f3b0b33b84297?ref=view_279_per_page%3D1000%26view_279_page%3D3,39.9053418,-75.3536225
New York University,"
03/24/2016
  ","
ANTISEMITIC EXPRESSION
  ","
NYU SJP planned and executed a silent protest of a talk by David Roet, Israel's Deputy Representative to the United Nations.
  ",#incident/search/display-by-date/search/details/5b516e509d1f3b0b33b84295?ref=view_279_per_page%3D1000%26view_279_page%3D3,40.7381644,-73.97821569999999
SUNY Buffalo,"
03/23/2016
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
Anti-Semitic slurs were written on a men’s restroom stall in Capen Hall that said, ""Kill all Kikes.
  ",#incident/search/display-by-date/search/details/5b516e509d1f3b0b33b8428f?ref=view_279_per_page%3D1000%26view_279_page%3D3,43.0008093,-78.7889697
American University,"
03/23/2016
  ","
ANTISEMITIC EXPRESSION
  ","
AU SJP hosted an event ""Greenwashing: A Discussion with Students for Justice in Palestine and Fossil Free AU,"" in which Israel was falsely accused of ""greenwashing,"" i.
  ",#incident/search/display-by-date/search/details/5b516e509d1f3b0b33b8428b?ref=view_279_per_page%3D1000%26view_279_page%3D3,38.9374948,-77.08880289999999
Ohio State University,"
03/23/2016
  ","
BDS ACTIVITY
  ","
The university's student government discussed a BDS resolution, and voted against the resolution with nine in favor, 21 opposed and 15 abstaining.
  ",#incident/search/display-by-date/search/details/5b516e509d1f3b0b33b8428d?ref=view_279_per_page%3D1000%26view_279_page%3D3,39.999151,-83.009596
"University of Florida, Gainesville","
03/23/2016
  ","
BDS ACTIVITY
  ","
SJP held the workshop, ""Sabra what's all the Hoopla"" to discuss their Boycott Sabra campaign.
  ",#incident/search/display-by-date/search/details/5b516e509d1f3b0b33b84291?ref=view_279_per_page%3D1000%26view_279_page%3D3,29.6436325,-82.3549302
Ohio State University,"
03/22/2016
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
An Ohio State University student threatened to murder every person on his campus if the college did not join the BDS movement.
  ",#incident/search/display-by-date/search/details/5b516e509d1f3b0b33b84287?ref=view_279_per_page%3D1000%26view_279_page%3D3,39.999151,-83.009596
Ohio State University,"
03/22/2016
  ","
ANTISEMITIC EXPRESSION
  ","
Committee for Justice in Palestine held the event, ""BDS Workshop: Learn More About Divest!"" The advertisement for the event read, ""End Occupation, End Apartheid, Refugees Right of Return""
view more
",#incident/search/display-by-date/search/details/5b516e509d1f3b0b33b84287?ref=view_279_per_page%3D1000%26view_279_page%3D3,39.999151,-83.009596
University of Virginia,"
03/21/2016
  ","
ANTISEMITIC EXPRESSION
  ","
Students for Peace and Justice in Palestine held a series of events for ""Israeli Apartheid Week"".
  ",#incident/search/display-by-date/search/details/5b516e509d1f3b0b33b84285?ref=view_279_per_page%3D1000%26view_279_page%3D3,38.0335529,-78.5079772
Ohio State University,"
03/21/2016
  ","
BDS ACTIVITY
  ","
OSU Divest hosted a ""Divestment Town Hall"" in which an anti-Israel divestment resolution was promoted.
  ",#incident/search/display-by-date/search/details/5b516e509d1f3b0b33b84283?ref=view_279_per_page%3D1000%26view_279_page%3D3,39.999151,-83.009596
Johns Hopkins University,"
03/21/2016
  ","
ANTISEMITIC EXPRESSION
  ","
A statue on campus of the school's mascot was defaced by SJP with paint that stated, ""End Israeli Aparthied.
  ",#incident/search/display-by-date/search/details/5b516e509d1f3b0b33b8427f?ref=view_279_per_page%3D1000%26view_279_page%3D3,39.3299013,-76.6205177
Lehigh University,"
03/21/2016
  ","
ANTISEMITIC EXPRESSION
  ","
As part of a conference hosted by the College of Arts and Sciences, keynote speaker Jasbir Puar gave a talk entitled ""Inhumanist Biopolitics Prehensive Gendering in Palestine,"" in which she accused Israel of willfully ""maiming and stunting"" the Palestinian population.
  ",#incident/search/display-by-date/search/details/5b516e509d1f3b0b33b84281?ref=view_279_per_page%3D1000%26view_279_page%3D3,40.6048687,-75.3775187
Brown University,"
03/21/2016
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
Brown SJP published an op-ed in the student newspaper stating, ""How can Hillel claim to speak against oppression and for intersectionality while supporting a state that sterilizes African Jewish refugees, collectively punishes entire communities with bombings and arrests en masse and imprisons them behind an apartheid wall: There is no pink door in the apartheid wall.
  ",#incident/search/display-by-date/search/details/5b516e509d1f3b0b33b84279?ref=view_279_per_page%3D1000%26view_279_page%3D3,41.8267718,-71.4025482
Haverford College,"
03/21/2016
  ","
BDS ACTIVITY
  ","
SJP posted a photo on Facebook that promoted BDS.
  ",#incident/search/display-by-date/search/details/5b516e509d1f3b0b33b8427d?ref=view_279_per_page%3D1000%26view_279_page%3D3,40.00932419999999,-75.3076619
CSU Long Beach,"
03/21/2016
  ","
BDS ACTIVITY
  ","
As part of ""Israel Apartheid Week,"" SJP erected an ""Apartheid Wall"" which called for BDS.
  ",#incident/search/display-by-date/search/details/5b516e509d1f3b0b33b8427b?ref=view_279_per_page%3D1000%26view_279_page%3D3,33.7838235,-118.1140904
Macalester College,"
03/20/2016
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
A swastika was found in Turck Hall.
  ",#incident/search/display-by-date/search/details/5b516e509d1f3b0b33b84277?ref=view_279_per_page%3D1000%26view_279_page%3D3,44.9378933,-93.1691354
Brown University,"
03/19/2016
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
Antisemitic messages such as ""Holocaust 2.
  ",#incident/search/display-by-date/search/details/5b516e509d1f3b0b33b84275?ref=view_279_per_page%3D1000%26view_279_page%3D3,41.8267718,-71.4025482
American University,"
03/18/2016
  ","
ANTISEMITIC EXPRESSION
  ","
JVP at American University held the event ""Max Blumenthal: Legislating Speech - Whitewashing Apartheid: Israel's Fight Against Democracy"" to discuss BDS, alongside delegitimizing Israel by falsely accusing the state of apartheid, as the title suggests.
  ",#incident/search/display-by-date/search/details/5b516e509d1f3b0b33b84273?ref=view_279_per_page%3D1000%26view_279_page%3D3,38.9374948,-77.08880289999999
Cornell University,"
03/17/2016
  ","
ANTISEMITIC EXPRESSION
  ","
In an op-ed in the Cornell Sun, three Cornell students falsely accuse Israel of apartheid and promote anti-Israel divestment efforts at Cornell.
  ",#incident/search/display-by-date/search/details/5b516e509d1f3b0b33b8426f?ref=view_279_per_page%3D1000%26view_279_page%3D3,42.4534492,-76.4735027
The New School,"
03/17/2016
  ","
BDS ACTIVITY
  ","
SJP co-hosted a BDS promotional event with Jeff Halper entitled, ""BDS 4 BDS Boycott, Divestment, Sanctions for a Bi-national, Democratic State.
  ",#incident/search/display-by-date/search/details/5b516e509d1f3b0b33b84271?ref=view_279_per_page%3D1000%26view_279_page%3D3,40.7354047,-73.9938193
San Francisco State University,"
03/16/2016
  ","
ANTISEMITIC EXPRESSION
  ","
AMED held the event, “Decolonizing Feminisms: Grounding Gender, Sexual and Gender Justice (Women’s Herstory Month)” with Dr.
  ",#incident/search/display-by-date/search/details/5b516e509d1f3b0b33b84269?ref=view_279_per_page%3D1000%26view_279_page%3D3,37.7241492,-122.4799405
Georgetown University,"
03/16/2016
  ","
ANTISEMITIC EXPRESSION
  ","
GU SJP hosted a panel discussion about Israel's use of ""faithwashing,"" i.
  ",#incident/search/display-by-date/search/details/5b516e509d1f3b0b33b84267?ref=view_279_per_page%3D1000%26view_279_page%3D3,38.9089151,-77.07234609999999
University of Southern California,"
03/16/2016
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
A student drew a swastika on a poster hanging in a hallway at the Pardee Tower.
  ",#incident/search/display-by-date/search/details/5b516e509d1f3b0b33b8426d?ref=view_279_per_page%3D1000%26view_279_page%3D3,34.0223519,-118.285117
University of Georgia,"
03/16/2016
  ","
BDS ACTIVITY
  ","
A school newspaper's article about an Athens for Justice in Palestine's disruption of a Jewish event quotes a AJP member stating, ""We hope we are planting the seeds for a divestment campaign on campus"".
  ",#incident/search/display-by-date/search/details/5b516e509d1f3b0b33b8426b?ref=view_279_per_page%3D1000%26view_279_page%3D3,33.9417438,-83.37290120000002
Brown University,"
03/16/2016
  ","
TARGETING JEWISH STUDENTS AND STAFF
  ","
Bestselling author Janet Mock cancelled a speech at Hillel in response to a student petition stating it was inappropriate for her to appear at Hillel because the group has defended, ""racial apartheid"" and was ""complicit in pinkwashing.
  ",#incident/search/display-by-date/search/details/5b516e509d1f3b0b33b84265?ref=view_279_per_page%3D1000%26view_279_page%3D3,41.8267718,-71.4025482
University of Michigan,"
03/15/2016
  ","
ANTISEMITIC EXPRESSION
  ","
SAFE hosted the event, ""DiscoveringISRAEL"" in which, according to the advertisement for the event, participants were taught about the ""fallacies of birthright"" and how birthright ""contributes to apartheid.
  ",#incident/search/display-by-date/search/details/5b516e509d1f3b0b33b84263?ref=view_279_per_page%3D1000%26view_279_page%3D3,42.277102,-83.735046
Georgetown University,"
03/15/2016
  ","
ANTISEMITIC EXPRESSION
  ","
GU SJP hosted an event ""Why We Use the Word Apartheid"" featuring a talk by Josh Ruebner falsely accusing Israel of apartheid.
  ",#incident/search/display-by-date/search/details/5b516e509d1f3b0b33b84261?ref=view_279_per_page%3D1000%26view_279_page%3D3,38.9089151,-77.07234609999999
Benedictine University,"
03/14/2016
  ","
ANTISEMITIC EXPRESSION
  ","
SJP held a series of events in honor of ""Apartheid Awareness Week"" to bring to light the false accusation that Israel is an apartheid state.
  ",#incident/search/display-by-date/search/details/5b516e509d1f3b0b33b8425d?ref=view_279_per_page%3D1000%26view_279_page%3D3,41.7784418,-88.0952683
